# Id ,Class ,Area (µm²) ,Aspect Ratio ,Breadth (µm) ,Direction (°) ,ECD (µm) ,Length (µm) ,Perimeter (µm) ,Shape ,Stage X ,Stage Y ,Count ,C  Apparent Concentration (%) ,C   k ratio ,C  Wt% ,C   Wt% ? ,O  Apparent Concentration (%) ,O   k ratio ,O  Wt% ,O   Wt% ? ,Na Apparent Concentration (%) ,Na  k ratio ,Na Wt% ,Na  Wt% ? ,Mg Apparent Concentration (%) ,Mg  k ratio ,Mg Wt% ,Mg  Wt% ? ,Al Apparent Concentration (%) ,Al  k ratio ,Al Wt% ,Al  Wt% ? ,Si Apparent Concentration (%) ,Si  k ratio ,Si Wt% ,Si  Wt% ? ,P  Apparent Concentration (%) ,P   k ratio ,P  Wt% ,P   Wt% ? ,S  Apparent Concentration (%) ,S   k ratio ,S  Wt% ,S   Wt% ? ,Cl Apparent Concentration (%) ,Cl  k ratio ,Cl Wt% ,Cl  Wt% ? ,K  Apparent Concentration (%) ,K   k ratio ,K  Wt% ,K   Wt% ? ,Ca Apparent Concentration (%) ,Ca  k ratio ,Ca Wt% ,Ca  Wt% ? ,Mn Apparent Concentration (%) ,Mn  k ratio ,Mn Wt% ,Mn  Wt% ? ,Fe Apparent Concentration (%) ,Fe  k ratio ,Fe Wt% ,Fe  Wt% ? ,Sc Apparent Concentration (%) ,Sc  k ratio ,Sc Wt% ,Sc  Wt% ? ,Ti Apparent Concentration (%) ,Ti  k ratio ,Ti Wt% ,Ti  Wt% ? ,Co Apparent Concentration (%) ,Co  k ratio ,Co Wt% ,Co  Wt% ? ,Ni Apparent Concentration (%) ,Ni  k ratio ,Ni Wt% ,Ni  Wt% ? ,Cu Apparent Concentration (%) ,Cu  k ratio ,Cu Wt% ,Cu  Wt% ? ,Pb Apparent Concentration (%) ,Pb  k ratio ,Pb Wt% ,Pb  Wt% ? ,C  Normalized ,O  Normalized ,Na Normalized ,Mg Normalized ,Al Normalized ,Si Normalized ,P  Normalized ,S  Normalized ,Cl Normalized ,K  Normalized ,Ca Normalized ,Mn Normalized ,Fe Normalized ,Sc Normalized ,Ti Normalized ,Co Normalized ,Ni Normalized ,Cu Normalized ,Pb Normalized
9,C,0.954210767,1.355256978,0.986960059,161.71875,1.10224266,1.337584507,3.416142056,0.973234885,-0.946467493,0.974674455,321314,26.99648142,0.269964814,35.14350355,0.17670989,2.905607969,0.009777668,7.932702452,0.188637548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109264837,0.001092648,0.149294001,0.044533648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C,15.12821653,2.427815673,3.203055629,67.5,4.388831681,7.776428657,22.75975917,2.724819438,-0.904621589,0.982478081,316764,28.14003229,0.281400323,38.13799322,0.193146837,3.895291686,0.013108054,10.18306911,0.210506003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146255572,0.001462556,0.199432229,0.046245108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,C,0.795175639,1.740042898,0.845965765,16.875,1.006205281,1.472016721,3.416142056,1.167881862,-0.71840016,1.081501611,321721,24.54724312,0.245472431,32.32636452,0.166680606,2.941244841,0.00989759,7.910746336,0.171566999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113941391,0.001139414,0.155631546,0.042243997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,C,2.643958999,2.121289813,1.409942941,81.5625,1.834773324,2.990897598,6.988889398,1.470116511,-0.597389328,0.979156783,321645,27.20876336,0.272087634,35.7391566,0.180187426,3.089637496,0.010396945,8.378400654,0.183002686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161669753,0.001616698,0.220822846,0.0453443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Ca,0.81505503,1.572152287,0.883268177,113.90625,1.018705205,1.388632085,3.337839413,1.087762496,-0.674584687,1.001612582,312342,30.48502207,0.304850221,45.97435594,0.239331066,5.290865526,0.017804302,13.68802637,0.24742363,0,0,0,0,0,0,0,0,0,0,0,0,0.187097071,0.001482569,0.193524954,0.019332876,0,0,0,0,0.239457702,0.002062834,0.241412083,0.019442097,0,0,0,0,0,0,0,0,0.558066741,0.004986243,0.569679867,0.023441181,0,0,0,0,0.081283797,0.000812838,0.104543066,0.031169498,0,0,0,0,0,0,0,0,0.153646513,0.001536465,0.209071185,0.050795707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,C,1.272281022,1.644094447,1.127954353,98.4375,1.272760193,1.854463488,4.928456477,1.519248927,-0.60780015,1.016487498,317197,23.3131811,0.233131811,30.1941365,0.159992278,2.763663977,0.009300011,7.454331964,0.167909043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,C,1.053607721,1.597139692,0.986960059,170.15625,1.158229259,1.576313084,3.794220661,1.087317457,-0.64095864,1.02427824,315056,29.55197394,0.295519739,39.07776177,0.199537328,3.503658623,0.011790169,9.435449541,0.206340593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187645119,0.001876451,0.256221951,0.049328542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,C,2.206612398,1.644094447,1.595168343,143.4375,1.676170088,2.622607416,6.943020772,1.738445224,-0.599272747,1.039637675,318356,28.3077538,0.283077538,37.3257041,0.188332947,3.431850672,0.011548528,9.212969989,0.196110248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12928379,0.001292838,0.176579319,0.046484964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,C,0.894572594,1.317074522,0.986960059,77.34375,1.067241867,1.299899947,3.337839413,0.991072497,-0.587531059,1.071821709,316603,32.70383775,0.327038378,42.25547314,0.278160558,3.35226357,0.011280709,9.257691354,0.200930494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153292366,0.001298542,0.151723169,0.017450874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145261828,0.001452618,0.198495784,0.047845423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,C,9.263796192,1.58300341,3.261611967,144.84375,3.434389559,5.163142867,18.70376136,3.005100839,-0.661979691,1.072854964,320774,28.45196724,0.284519672,37.44294643,0.188416615,3.259806708,0.010969582,8.826885372,0.193900964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17592177,0.001759218,0.240265671,0.047288387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
