# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
9,1.10224266,85.45866244,14.4674991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073838459
19,4.388831681,83.24190634,16.66955994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088533729
31,1.006205281,84.4227065,15.49462705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082666447
35,1.834773324,84.95594481,14.93729171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106763478
49,1.018705205,81.15677195,18.12221202,0,0,0,0.145888483,0,0.159509239,0,0,0.300937879,0,0.039616288,0,0,0.075064142
57,1.272760193,84.37678674,15.62321326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.158229259,84.57207108,15.31514613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112782795
71,1.676170088,84.31120227,15.60767429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081123438
82,1.067241867,85.73580514,14.08780147,0,0,0,0,0,0,0,0.09447908,0,0,0,0,0,0.081914311
83,3.434389559,84.88158564,15.00763358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110780782
85,1.91575778,84.16362482,15.68696494,0,0,0,0.05769122,0,0,0,0,0,0,0,0,0,0.091719021
115,1.222032068,85.73508962,14.16073695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104173424
117,14.79155988,74.17638214,22.04501785,0,0.721263519,0.101130145,0.152587396,0.584312285,0,0.195858554,0.302397082,1.61816358,0,0.04641731,0,0,0.056470137
126,7.903676835,53.27643493,36.41314652,0,0,0.910386887,9.301059419,0,0,0,0,0,0,0.098972247,0,0,0
150,11.85551525,54.65442818,35.61509936,0,0.507955285,1.636590153,6.598482233,0,0,0,0.188628725,0.206540762,0,0.502662709,0.031579948,0,0.058032642
155,4.482980482,71.24363208,26.15318744,0,0.048141711,1.086931841,1.21792137,0,0,0,0.038305392,0,0,0.115187195,0.037256403,0,0.059436567
162,3.81496466,69.307178,28.33849789,0,0,0,0,0,0,0,0,2.265875766,0,0,0,0,0.088448348
163,2.438880538,85.01044274,14.80481382,0,0,0,0.081453569,0,0,0,0,0,0,0,0,0,0.103289864
168,1.841658052,74.13550207,22.7683575,0,0.299033589,0.59208186,1.697239148,0,0,0,0.405711445,0,0,0.051154985,0,0,0.050919403
179,10.85233329,49.29679155,38.8463295,0,0,0.493314445,11.13367999,0,0,0,0,0,0,0.137167912,0,0,0.0927166
181,1.169104889,85.2252812,14.5279552,0,0,0,0.186018399,0,0,0,0,0,0,0,0,0,0.060745203
200,4.809829645,71.91305975,25.7467255,0,0.11292314,0.617342545,0.962821921,0,0,0.043688857,0.063126298,0.23429204,0,0.2252623,0.029185134,0,0.051572517
202,1.458129982,85.27852735,14.61587577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105596887
